image_id,image_filename,image_doi,cell_id,bethesda_system,nucleus_x,nucleus_y,image_path
182,c63289c59bca91f80b2dde9ac013cc57.png,10.6084/m9.figshare.12230165,5333,Negative for intraepithelial lesion,413,791,5333.png
251,e457af606b15cffb99021a1018f1424f.png,10.6084/m9.figshare.12230405,3928,Negative for intraepithelial lesion,989,76,3928.png
56,e5ea9cccfefaf9d788e1447821752285.png,10.6084/m9.figshare.12229694,9625,ASC-H,562,760,9625.png
23,77acea6065f24cef2351ef3bc2af43a1.png,10.6084/m9.figshare.12229592,10893,Negative for intraepithelial lesion,631,247,10893.png
385,5c64597b1e31000275d0d6d97f935d58.png,10.6084/m9.figshare.12230840,825,Negative for intraepithelial lesion,365,741,825.png
167,b1f43c3a74ea03d4df18696b710a3fc4.png,10.6084/m9.figshare.12230111,5606,Negative for intraepithelial lesion,428,616,5606.png
352,060d7d018977ad7cca7643f2deb6f3e8.png,10.6084/m9.figshare.12230729,1636,LSIL,579,630,1636.png
249,bd7e1530680d11547db567150fa7c403.png,10.6084/m9.figshare.12230396,3993,Negative for intraepithelial lesion,1182,514,3993.png
140,ae9ad0a0e62cb046468591ce92237bfc.png,10.6084/m9.figshare.12230027,6374,Negative for intraepithelial lesion,1104,775,6374.png
9,71abd3d9c8d0e5738c1db3328645fde8.png,10.6084/m9.figshare.12229547,11301,LSIL,496,443,11301.png
242,36ec7e0332c9ab3aa1edb53fe8f6cba8.png,10.6084/m9.figshare.12230372,4191,Negative for intraepithelial lesion,273,689,4191.png
237,8e39307fc74e68a5f4a6ae66764331b4.png,10.6084/m9.figshare.12230357,4281,LSIL,662,599,4281.png
300,19c7c2f6bb8dfb3143ab9f9be7dd3e9d.png,10.6084/m9.figshare.12230561,2879,Negative for intraepithelial lesion,1214,684,2879.png
312,e195831951b7e556d3ca5f497ad4bc9c.png,10.6084/m9.figshare.12230597,2628,Negative for intraepithelial lesion,94,920,2628.png
131,7d9c47264d5ffa28fdb561d0be14bb90.png,10.6084/m9.figshare.12229988,6660,Negative for intraepithelial lesion,1112,657,6660.png
263,5901e3526774e5847970bb8203c7c711.png,10.6084/m9.figshare.12230447,3668,Negative for intraepithelial lesion,788,268,3668.png
38,466a61aa31579a2ffb3c561f5a5d37d0.png,10.6084/m9.figshare.12229640,10264,Negative for intraepithelial lesion,494,901,10264.png
255,550a723278b6eb460f4cf76bd5dbaff0.png,10.6084/m9.figshare.12230420,3819,Negative for intraepithelial lesion,1183,658,3819.png
107,2fcce94875a4487c35970f75ad569640.png,10.6084/m9.figshare.12229889,7507,Negative for intraepithelial lesion,724,954,7507.png
16,42e7a4f3bd69279d8b1bc4ea8e248f08.png,10.6084/m9.figshare.12229568,11082,Negative for intraepithelial lesion,524,509,11082.png
370,b73f6ce80af2295f03792c3c2bdc338b.png,10.6084/m9.figshare.12230789,1233,Negative for intraepithelial lesion,972,378,1233.png
93,9b712bff27856e5b7a14e4bbf67a4abc.png,10.6084/m9.figshare.12229814,7776,SCC,569,782,7776.png
28,c5a3e789e449a8123509be5fd671b6b2.png,10.6084/m9.figshare.12229607,10606,Negative for intraepithelial lesion,981,941,10606.png
2,9d0f43b29d78f673e9caf77928b4af3c.png,10.6084/m9.figshare.12229520,11485,ASC-US,717,318,11485.png
86,de81ced6d8b99536da382f09b4290d70.png,10.6084/m9.figshare.12229790,8001,SCC,865,854,8001.png
31,88e5e1814b1a2c4d30e28f8b98ba157c.png,10.6084/m9.figshare.12229616,10459,Negative for intraepithelial lesion,498,714,10459.png
24,e49e5d68eaf20468db941ac76632674f.png,10.6084/m9.figshare.12229595,10763,Negative for intraepithelial lesion,254,111,10763.png
92,66ac6258c1215e76435accb18ec68f08.png,10.6084/m9.figshare.12229811,7808,HSIL,429,784,7808.png
101,688bb88091ed6d58563888211455a559.png,10.6084/m9.figshare.12229865,7612,LSIL,694,668,7612.png
211,75ae516a4fba3943054907d8f738aa73.png,10.6084/m9.figshare.12230258,4928,ASC-US,849,302,4928.png
209,3c6531547003951472ce20fa1de720fc.png,10.6084/m9.figshare.12230252,4943,Negative for intraepithelial lesion,1092,560,4943.png
225,fcc9c7e2fc1a0f4d30fa745308d15194.png,10.6084/m9.figshare.12230312,4656,Negative for intraepithelial lesion,1159,994,4656.png
310,f4062608fdab5e483be224b0b807bfbb.png,10.6084/m9.figshare.12230591,2676,Negative for intraepithelial lesion,752,362,2676.png
70,5e5f9e511001c3ead65b7dc51897a1ba.png,10.6084/m9.figshare.12229736,8801,HSIL,612,198,8801.png
193,c0dad84e596a1fd11720827eda489983.png,10.6084/m9.figshare.12230198,5146,LSIL,375,546,5146.png
335,239fed60a9c2ffa1abce3e958b69f317.png,10.6084/m9.figshare.12230672,2242,Negative for intraepithelial lesion,860,910,2242.png
33,07872ee58dea1007dd5d4afa5fb2556d.png,10.6084/m9.figshare.12229622,10431,Negative for intraepithelial lesion,820,680,10431.png
28,c5a3e789e449a8123509be5fd671b6b2.png,10.6084/m9.figshare.12229607,10637,Negative for intraepithelial lesion,71,985,10637.png
242,36ec7e0332c9ab3aa1edb53fe8f6cba8.png,10.6084/m9.figshare.12230372,4184,Negative for intraepithelial lesion,1030,414,4184.png
35,bf7767fb55e9b4e77ea458f825f06e65.png,10.6084/m9.figshare.12229628,10320,Negative for intraepithelial lesion,989,300,10320.png
257,3b536324e212ad03ae37afcf97d0c760.png,10.6084/m9.figshare.12230426,3765,Negative for intraepithelial lesion,348,640,3765.png
223,b75d053b22d2ed9d019608c8508676b6.png,10.6084/m9.figshare.12230306,4704,Negative for intraepithelial lesion,880,434,4704.png
31,88e5e1814b1a2c4d30e28f8b98ba157c.png,10.6084/m9.figshare.12229616,10502,Negative for intraepithelial lesion,41,745,10502.png
201,a9ceb5e547fed2f7d052cdc794cb1330.png,10.6084/m9.figshare.12230225,5062,LSIL,449,370,5062.png
148,ec14a8dad00ce2aa24bae8dd2683077b.png,10.6084/m9.figshare.12230054,6073,Negative for intraepithelial lesion,678,555,6073.png
26,584d79af21c45131e9af9d54d2c2b8e4.png,10.6084/m9.figshare.12229601,10692,Negative for intraepithelial lesion,484,568,10692.png
236,221e5472253d8a712be2eb84079a6a72.png,10.6084/m9.figshare.12230354,4333,Negative for intraepithelial lesion,816,562,4333.png
